Model,Train Acc,Test Acc,Train Loss,Test Loss,Parameters,Training Time (5 epochs),Inference Time (per sample)
FC,0.96545,0.9783,0.11086708508572901,0.0646816021149198,537354,125.77199959754944,0.0002780226469039917
SimpleCNN,0.9924166666666666,0.9922,0.024483961220074228,0.023854682012118184,421642,269.6688394546509,0.0004950157403945923
CNNWithResidual,0.9930833333333333,0.9849,0.02165474453420035,0.052075000522082825,160906,919.9450345039368,0.0010855855464935304
