Model,Train Acc,Test Acc,Train Loss,Test Loss,Parameters,Inference Time (s/sample)
DeepFC,0.42396,0.489,1.6097205551079168,1.4524735710288905,3809034,0.0003241442203521729
ResCNN,0.71006,0.7174,0.8317372756236044,0.8235089688361446,161482,0.0013235580444335938
RegResCNN,0.63442,0.6936,1.034073810748127,0.8741567632820033,161610,0.0013245296478271483
